셀번호,측정시간,장애여부
YSHS0017,2024-04-13T15:44:16.000+09:00,CRITICAL
YSHS0024,2024-04-13T15:44:16.000+09:00,CRITICAL
YSWS0049,2024-04-13T16:08:00.000+09:00,MAJOR
JNGC0007-1,2024-04-13T17:03:32.000+09:00,MAJOR
JNGC0007-1,2024-04-13T17:45:20.000+09:00,MAJOR
JNGC0007-1,2024-04-13T18:33:40.000+09:00,MAJOR
JNGC0007-1,2024-04-13T18:36:37.000+09:00,MAJOR
JNGC0007-1,2024-04-13T20:05:20.000+09:00,MAJOR
JNGC0007-1,2024-04-13T20:13:51.000+09:00,MAJOR
JNGC0007-1,2024-04-13T20:33:41.000+09:00,MAJOR
JNGC0007-1,2024-04-13T21:14:54.000+09:00,MAJOR
JNGC0007-1,2024-04-13T21:23:19.000+09:00,MAJOR
JNGC0007-1,2024-04-13T22:26:27.000+09:00,MAJOR
JNGC1001,2024-04-13T22:26:27.000+09:00,MAJOR
JNGC1002,2024-04-13T23:08:31.000+09:00,MAJOR
JNGC0007-1,2024-04-13T23:33:26.000+09:00,MAJOR
JNGC1001,2024-04-13T23:33:26.000+09:00,MAJOR
JNGC0007-1,2024-04-13T23:58:09.000+09:00,MAJOR
JNGC1002,2024-04-14T00:29:51.000+09:00,MAJOR
JNGC1002,2024-04-14T03:32:07.000+09:00,MAJOR
JNGC1002,2024-04-14T03:36:29.000+09:00,MAJOR
JNGC1002,2024-04-14T03:47:44.000+09:00,MAJOR
JNNW12,2024-04-14T09:08:43.000+09:00,MAJOR
YSJSC2004,2024-04-14T09:49:33.000+09:00,CRITICAL
YSJSC2004,2024-04-14T11:07:57.000+09:00,CRITICAL
JNGJ50,2024-04-14T13:32:19.000+09:00,CRITICAL
JNNW12,2024-04-14T14:51:44.000+09:00,MAJOR
YSDGHFC0054,2024-04-14T14:54:55.000+09:00,CRITICAL
JNNW12,2024-04-14T15:35:29.000+09:00,MAJOR
JNNW12,2024-04-14T21:53:52.000+09:00,MAJOR
YSWS2-7,2024-04-15T07:12:12.000+09:00,MAJOR
YSWS2-7,2024-04-15T07:42:49.000+09:00,MAJOR
YSWS0278A,2024-04-15T09:00:09.000+09:00,MAJOR
YSWS0278A,2024-04-15T09:36:11.000+09:00,MAJOR
JNGC1002,2024-04-15T10:13:11.000+09:00,MAJOR
JNGC1002,2024-04-15T11:26:02.000+09:00,MAJOR
JNNW12,2024-04-15T11:26:02.000+09:00,MAJOR
YSWS0278A,2024-04-15T13:23:19.000+09:00,MAJOR
YSWS0278A,2024-04-15T13:31:49.000+09:00,MAJOR
YSWS0278A,2024-04-15T14:09:11.000+09:00,MAJOR
JNGC1002,2024-04-15T14:09:27.000+09:00,MAJOR
YSWS10-8,2024-04-15T14:12:24.000+09:00,MAJOR
JNGC0047,2024-04-15T14:13:57.000+09:00,MAJOR
YSWS0278A,2024-04-15T14:15:50.000+09:00,MAJOR
JNBA3028,2024-04-15T14:18:25.000+09:00,MAJOR
JNGC1002,2024-04-15T14:53:58.000+09:00,MAJOR
JNGC1002,2024-04-15T15:28:12.000+09:00,MAJOR
JNGJ24,2024-04-15T16:52:57.000+09:00,MAJOR
JNGC1002,2024-04-15T21:36:50.000+09:00,MAJOR
JNGC0033,2024-04-16T02:05:34.000+09:00,CRITICAL
JNGC1002,2024-04-16T08:00:09.000+09:00,MAJOR
YSWS2-5,2024-04-16T09:00:35.000+09:00,MAJOR
YSWS2-5,2024-04-16T09:09:12.000+09:00,MAJOR
YSWS2-5,2024-04-16T09:18:16.000+09:00,MAJOR
YSWS2-5,2024-04-16T09:26:44.000+09:00,MAJOR
YSWS2-5,2024-04-16T09:35:03.000+09:00,MAJOR
YSWS2-5,2024-04-16T09:43:21.000+09:00,MAJOR
YSWS2-5,2024-04-16T09:52:06.000+09:00,MAJOR
